camera,lat,log
1_Ave_@_110_St,40.79142678,-73.93807411
1_Ave_@_124_St,40.80042614,-73.93155098
1_Ave_@_23_St,40.73597417,-73.97828579
1_Ave_@_42_St,40.74803726,-73.96948814
1_Ave_@_79_St,40.77144187,-73.95249367
1_Ave_@_86_St,40.7760243,-73.94931793
1_Ave_@_96_St,40.783304,-73.944662
1_Ave_@_E_14_St,40.731331,-73.982561
1_Ave_and_34_St,40.74296517,-73.97330761
11_Ave_@_34_ST,40.75492947,-74.0018034
11_Ave_@_42_St,40.75990312,-73.99815559
12_Ave_@_14_St,40.74182715,-74.0087986
12_Ave_@_22_St,40.74771214,-74.00789738
12_Ave_@_34_St,40.75629482,-74.00450706
12_Ave_@_42_St,40.76126838,-74.00090218
12_Ave_@_57_St,40.77072685,-73.99420738
2_Ave_@_110_St,40.792531,-73.9402627
2_Ave_@_125_St,40.80195299,-73.93339634
2_Ave_@_23_St,40.737876,-73.980926
2_Ave_@_36_St-Midtown_Tunnel,40.7453387,-73.97489548
2_Ave_@_42_St,40.74904513,-73.97197723
2_Ave_@_49_St,40.75340154,-73.96884441
2_Ave_@_49_St,40.75340154,-73.96884441
2_Ave_@_58_St,40.75925299,-73.96468163
2_Ave_@_59_St_(QBB),40.75990312,-73.96412373
207_ST_@_9_Ave,40.86283582,-73.91700268
3_Ave_@_23_St,40.73799025,-73.98296356
3_AVE_@_34_ST,40.74481848,-73.97798538
3_Ave_@_42_St,40.74989042,-73.97429466
3_Ave_@_49_St,40.75440933,-73.97116184
3_Ave_@_57_St,40.75944803,-73.96734238
3_Ave_@_59_St,40.76071578,-73.96639824
5_Ave_@_23_St,40.74068911,-73.98944378
5_Ave_@_34_St,40.74754957,-73.9844656
5_Ave_@_42_St,40.75262131,-73.98068905
5_Ave_@_49_St,40.75710752,-73.97755623
5_Ave_@_57_St,40.76217853,-73.97377968
5_Ave_@_72_St,40.77153937,-73.96691322
6_Ave_@_14_St,40.73649445,-73.99656773
6_Ave_@_23_St,40.74208727,-73.99266243
6_Ave_@_34_St,40.74881754,-73.98746967
6_Ave_@_42_St,40.75408424,-73.9839077
6_Ave_@_49_St,40.75840782,-73.98073196
6_Ave_@_57_St,40.76344622,-73.97695541
6_Ave_@_58_St,40.76429133,-73.97652626
6_Ave_@_West_Houston_St,40.728348,-74.002878
7_Ave_@_145_St,40.8207271,-73.93880367
7_Ave_@_23St,40.74332283,-73.99545193
7_Ave_@_34_St,40.75015051,-73.99055958
7_Ave_@_49_St,40.75964307,-73.98356438
7_Ave_@_57_St,40.76474639,-73.97995949
8_Ave_@_14_St,40.73896576,-74.00231838
8_Ave_@_34_St,40.75135341,-73.99339199
8_Ave_@_42_St,40.75629482,-73.98957253
8_Ave_@_49_St,40.76081329,-73.98639679
8_Ave_@_Columbus_Cr_South,40.766969,-73.982265
8th_Ave_@_23_St,40.7443958,-73.99811268
9_Ave_@_23_St,40.74579388,-74.00120258
9_Ave_@_30_St,40.75015051,-73.9978981
9_Ave_@_34_St,40.75245876,-73.99613857
9_Ave_@_37_St,40.75447435,-73.99463654
9_Ave_@_42_St,40.75759514,-73.99244785
9_Ave_@_48_St,40.76136589,-73.98965836
9_Ave_@_49_St,40.7619835,-73.9892292
9_Ave_@_57_St,40.76711914,-73.98549557
Adams_@_Tillary,40.69554199,-73.9883709
Amsterdam_@_178_St,40.850354,-73.940604
Amsterdam_@_72_St,40.77787669,-73.98141861
Amsterdam_@_86_St,40.78687789,-73.97489548
Amsterdam_Ave_@_125_St,40.813323,-73.956265
Amsterdam_Ave_@_60_St,40.77020683,-73.98686886
Atlantic_Ave_@_Boerum_St,40.68841584,-73.99025917
Atlantic_Ave_@_BQE,40.69075877,-73.99841309
Atlantic_Ave_@_Vanderbilt_Ave,40.68096347,-73.96704197
Baxter_St_@_Canal_Street,40.71662313,-73.99918556
Belt_Pkwy_@_130_St,40.6666,-73.8104
Belt_Pkwy_@_150th_St,40.667592,-73.771721
Belt_Pkwy_@_158_St,40.659301,-73.854457
Belt_Pkwy_@_68_St,40.63903247,-74.03562069
Belt_Pkwy_@_Bay_8th_St,40.60439255,-74.01698586
Belt_Pkwy_@_Brookville_Blvd,40.66527499,-73.74040604
Belt_Pkwy_@_Erskine,40.65091777,-73.86576176
Belt_Pkwy_@_Flatbush,40.59564133,-73.90764713
Belt_Pkwy_@_Ocean_Pkwy,40.58325731,-73.96665573
Belt_Pkwy_@_Pennsylvania_Ave,40.64251688,-73.87588978
Belt_Pkwy_@_Springfield_Blvd,40.66527499,-73.75757217
Belt_Pkwy@_Cross_Bay_Blvd,40.666453,-73.841179
BQE_@_Cadman_Plz_Ent,40.70133346,-73.99231911
BQE_@_Hamilton_Ave_B-G_Ramp,40.67504004,-74.00030136
BQE_@_Varick_St,40.72436422,-73.93446922
